"","Component","Transition","mean_R2","ci_lb","ci_ub","n"
"1","biodiversity","LBF_MA",0.722456966788017,0.48077363026846,0.907007994977292,7
"2","biodiversity","LBF_PA",0.587196515670996,0.329057163194165,0.82686227112255,7
"3","biodiversity","LF_LBF",0.0550381688058976,0.0221354707762969,0.111250306196633,7
"4","biodiversity","LF_MA",0.730578939856667,0.498158327483949,0.910700828035297,7
"5","biodiversity","LF_PA",0.600919184222511,0.335929772705763,0.851514201052793,7
"6","biodiversity","MA_SFyoung",0.721677097103848,0.481825850408706,0.900020838574112,7
"7","biodiversity","PA_MA",0.263260089830453,0.110027595241574,0.444879647033798,7
"8","biodiversity","PA_SFyoung",0.417662930179448,0.225165731157482,0.637110967026349,7
"9","biodiversity","SFold_MA",0.69981110826511,0.463631949813692,0.900641650990421,7
"10","biodiversity","SFold_PA",0.484251725851996,0.193938106531941,0.815702208427101,7
"11","biodiversity","SFyoung_SFold",0.10918107892074,0.044319444451282,0.190969960112863,7
"12","biodiversity","UF_LBF",0.0439018503414249,0.0183711567597887,0.0860434133995236,7
"13","biodiversity","UF_LF",0.0160256349139314,0.00533399602791764,0.0308774878743252,7
"14","biodiversity","UF_MA",0.791114892547449,0.527554153666207,0.927521488707944,7
"15","biodiversity","UF_PA",0.574127568545017,0.285499825398626,0.830434330270033,7
"16","carbon","LBF_MA",0.36407576240092,0.00620495986225742,0.492208917574134,4
"17","carbon","LBF_PA",0.45220578458771,0.056712722090464,0.595421222047661,4
"18","carbon","LF_LBF",0.0313300104651098,0.00455135081251598,0.0818060692067531,4
"19","carbon","LF_MA",0.469567394867276,0.0223479162504473,0.655742760811681,4
"20","carbon","LF_PA",0.557983774394517,0.233318586023778,0.744731910736897,4
"21","carbon","MA_SFyoung",0.299730966052625,0.0341838772267553,0.503172511465742,4
"22","carbon","PA_MA",0.032809698889262,0.0182837916449815,0.0607060810451793,4
"23","carbon","PA_SFyoung",0.3095264975877,0.0470068562852064,0.531207809876617,4
"24","carbon","SFold_MA",0.415850817593117,0.11755437429719,0.690503802754426,4
"25","carbon","SFold_PA",0.406934756900343,0.101906194177983,0.684582749054957,4
"26","carbon","SFyoung_SFold",0.128660811752606,0.0172380673108344,0.336708710228595,4
"27","carbon","UF_LBF",0.0859922100504512,0.00698090456035357,0.228143463710967,4
"28","carbon","UF_LF",0.0854861973590437,0.0221561366155608,0.185174636255673,4
"29","carbon","UF_MA",0.638000793541741,0.0466067599715302,0.847435778058334,4
"30","carbon","UF_PA",0.57512793350385,5.01800182799779e-06,0.803761613888025,4
"31","soil","LBF_MA",0.107224946507589,0.0472828107088413,0.146369451114982,7
"32","soil","LBF_PA",0.0767742366004849,0.0303565514977597,0.135812315179393,7
"33","soil","LF_LBF",0.0195048696345028,0.00694863343929987,0.0395305229399153,7
"34","soil","LF_MA",0.224513522725083,0.105224351638772,0.341368506298813,7
"35","soil","LF_PA",0.173126589598973,0.0710708216503196,0.291974310743391,7
"36","soil","MA_SFyoung",0.186967488651159,0.102707388569227,0.263052147560754,7
"37","soil","PA_MA",0.0358211288259824,0.018194779149086,0.0537123574559735,7
"38","soil","PA_SFyoung",0.0805435663405499,0.0287390407403289,0.15935020194964,7
"39","soil","SFold_MA",0.286140881034842,0.159409017245091,0.418553892232086,7
"40","soil","SFold_PA",0.151876012076386,0.0536203096276076,0.305562488602907,7
"41","soil","SFyoung_SFold",0.0784923425420711,0.0264103827421119,0.152656485844,7
"42","soil","UF_LBF",0.0511015730369525,0.0277907770634243,0.0751808552093899,7
"43","soil","UF_LF",0.0576033431363585,0.0284573010114321,0.0995513182353636,7
"44","soil","UF_MA",0.41188074291652,0.234576827774088,0.584240234614049,7
"45","soil","UF_PA",0.193650452247341,0.0738884250962199,0.326973586778461,7
