"","LBF","PA","variable","p_value","R2m","R2c","AIC"
"1",108.450078307057,-103.708913327871,"Aboveground_pool",2.2021906270229e-35,0.629574471930266,0.69905197017718,1381.33943658464
"2",7.59125225623039,-6.4170249657322,"Litter_pool",3.84678089364599e-44,0.585296750030261,0.81602024301314,564.744850996759
"3",24.7333583526369,-23.4733032075116,"Dead_pool",4.90051443933622e-25,0.537239194299849,0.549553436616456,1047.70052877706
"4",57.4806153846154,-9.65533760683764,"Soil_pool_new",0.00453481053000869,0.056712722090464,0.056712722090464,1211.95361328382
"5",4.45311653695301,0.530096184474269,"pH",8.91606425490114e-13,0.188764047228172,0.582949595646179,148.077488348482
"6",0.149105698158993,-0.0357368166614071,"Nperc",2.3149948534818e-05,0.111920446527403,0.194459067989679,-433.2576569435
"7",3.68180602117148,0.87491868497531,"P",0.0213575712190228,0.0381805277862437,0.0558449358926347,609.529573158977
"8",36.5363096472692,5.09199361282712,"K",0.145034530450165,0.0120627690160207,0.219472538907138,1228.17957967381
"9",24.3554037444231,-0.0987097912515192,"Na",0.969797076331857,8.78394149711788e-06,0.372470307271613,1109.20314597289
"10",1.85046190049268,0.420783064277518,"CaMg",0.0468456966250907,0.0236489446635176,0.184464338209354,458.238788946082
"11",1.29776807752482,-0.619976292391077,"Al",1.55110658157225e-11,0.16283413704054,0.586974503384034,210.070625070318
