"","LF","MA","variable","p_value","R2m","R2c","AIC"
"1",141.653754576617,-142.777864302898,"Aboveground_pool",8.80382985457851e-32,0.767049380028068,0.779452713950824,940.229943500632
"2",7.94795985815095,-6.89378035674259,"Litter_pool",3.37647509315324e-28,0.624731049051502,0.775913666006735,389.91880686007
"3",27.6795478656408,-27.0087878734049,"Dead_pool",2.00826370526907e-15,0.464141234139088,0.526491085790895,747.603314467763
"4",59.6249921561924,-6.25674178531454,"Soil_pool_new",0.113890187582269,0.0223479162504473,0.1352084471772,804.170850698454
"5",4.23889838150518,0.688548061815021,"pH",1.67689812883409e-18,0.332300069053602,0.76048119402078,28.2281709965398
"6",0.155961734864112,-0.0141772678725518,"Nperc",0.172226474753284,0.0238833978415384,0.0462756500987531,-328.075623589057
"7",3.85912169264422,1.6045048802824,"P",3.49423698606993e-05,0.135849899344591,0.339524718748956,359.694450468735
"8",33.9772613994016,22.6042151734498,"K",1.25874329901127e-09,0.256638265760837,0.513543863302951,765.147261588975
"9",24.4695356859719,4.56923488278093,"Na",0.0427501953453769,0.0198386174610295,0.591651643183032,691.480468620331
"10",1.23813037117921,1.80176618793869,"CaMg",2.84446163572927e-16,0.478004701100999,0.593029963812424,219.065762736884
"11",1.62978576745328,-1.09656711286459,"Al",8.12593256900961e-18,0.325079708512987,0.75104710214964,120.333319157528
