"","LF","PA","variable","p_value","R2m","R2c","AIC"
"1",141.353618778562,-139.523209380905,"Aboveground_pool",1.04484524898364e-61,0.854434140018922,0.860958172974668,1341.06181718326
"2",7.92218894692571,-6.65045166904099,"Litter_pool",4.87919489561077e-48,0.659109802762829,0.818219113492362,568.062552905098
"3",27.8447482495958,-27.0493275849789,"Dead_pool",3.61438861723086e-32,0.610949560146917,0.650402394024452,1059.19977923574
"4",60.5812408260268,-12.9274030324964,"Soil_pool_new",6.47801944712295e-05,0.107441594649398,0.112090214167857,1222.71721587057
"5",4.24156687852909,0.754082986698842,"pH",2.40654295251656e-26,0.386747867190833,0.689436947422552,108.349769300621
"6",0.158229957834967,-0.0443020523934373,"Nperc",1.46920940410406e-08,0.181869345810895,0.29199408260114,-467.817370227148
"7",3.70098039214706,0.800138435005716,"P",0.0257854738147164,0.0346374167839,0.0346374167839,613.524361305571
"8",34.3635854719385,7.8941581863497,"K",0.0118948052138396,0.0369969912165201,0.192603144550681,1225.10781624915
"9",24.8988702439234,-0.259957922135481,"Na",0.903852952765057,7.82764610509096e-05,0.346904031948509,1103.77303644493
"10",1.26226917987865,1.08008225953142,"CaMg",3.04415469166655e-09,0.20919802803492,0.263351417767376,411.076970956639
"11",1.60820117101647,-0.944971401359769,"Al",8.67349726097507e-25,0.362358201694694,0.680314510793425,184.744935958247
