"","MA","SFyoung","variable","p_value","R2m","R2c","AIC"
"1",0,29.6373060247879,"Aboveground_pool",5.38978012723133e-10,0.475212070490199,0.475212070490199,497.541609595261
"2",0.981567886779644,5.52177655836261,"Litter_pool",1.5655391992213e-14,0.587053834392371,0.670322983019098,258.65619824506
"3",0,8.25907872260606,"Dead_pool",0.00299861787049994,0.136619184538382,0.136619184538382,449.691647553354
"4",53.1627768736354,0.18145503862323,"Soil_pool_new",0.940049566661166,3.87747895464217e-05,0.112897251476877,476.984213039483
"5",4.8832015452984,-0.323399496108219,"pH",0.000237980554550769,0.205341750086944,0.22575906741242,36.8501697631444
"6",0.14117110094944,-0.0132448429421186,"Nperc",0.167199231454691,0.0288614501417831,0.100636432078835,-210.057207914676
"7",5.58311111108,-1.36181481486788,"P",0.0274483273920854,0.0791171574039127,0.0791171574039127,268.229434199749
"8",56.3941851700348,-23.0969292850492,"K",3.92926022129063e-07,0.298284162166354,0.478561261397078,491.075581748007
"9",28.9504723505318,-8.88859097959333,"Na",0.000174444773997727,0.0998800071641596,0.641552728927885,424.824314221349
"10",2.98631111112,-1.20859225596848,"CaMg",1.37023331171387e-06,0.327180398167608,0.327180398167608,153.844069205279
"11",0.597975943339897,0.43646261679036,"Al",1.04877984403569e-05,0.270107495427349,0.342117470636471,47.9951298444791
