"","SFold","MA","variable","p_value","R2m","R2c","AIC"
"1",70.8267758152,-70.8267758152,"Aboveground_pool",5.89432979130801e-19,0.78458197527511,0.78458197527511,449.603852824782
"2",7.27183290580435,-6.2036705585362,"Litter_pool",4.47171847668404e-14,0.596425630233742,0.760303585939516,221.75605127663
"3",10.73425993004,-10.73425993004,"Dead_pool",0.000989421210912936,0.188484748701044,0.188484748701044,397.525888544893
"4",61.5603623865336,-7.87877492435614,"Soil_pool_new",0.00538602342739354,0.0939109161625719,0.496749156195465,375.473230639025
"5",4.23877356159228,0.641647255205147,"pH",2.09539265398633e-09,0.505159145510645,0.510317277253968,33.8396917234246
"6",0.162684514449936,-0.0205896762999573,"Nperc",0.00241429036970719,0.157227538567338,0.177635691016058,-225.509550142016
"7",3.74571691290496,1.80004057658336,"P",0.00198988498877427,0.179878193638672,0.213062241003408,212.993437035702
"8",37.4892588717512,19.4130866789661,"K",2.20021017481589e-05,0.204038454619199,0.538312170800875,422.352762661871
"9",24.5860526784525,4.7298908077787,"Na",0.042138178088483,0.0239804448419325,0.726482361229009,364.473745424039
"10",1.50968888892,1.4766222222,"CaMg",1.43630349153066e-07,0.420015593119016,0.420015593119016,134.65935968609
"11",1.56516422206472,-0.966672444456477,"Al",6.95513001887424e-10,0.51268679694709,0.545172827814052,71.637540890283
