"","UF","LBF","variable","p_value","R2m","R2c","AIC"
"1",193.968842762597,-84.5040350573381,"Aboveground_pool",5.53752646055151e-09,0.291283411881385,0.40628928748988,934.14806717048
"2",7.4817349187418,0.030725377605576,"Litter_pool",0.929966521012692,1.91501716560324e-05,0.62801733615374,364.082238186948
"3",20.6620784971011,3.91436172523542,"Dead_pool",0.22543307089697,0.0139426589490511,0.0513500206357989,704.920701102625
"4",48.1252380952381,9.35537728937732,"Soil_pool_new",0.063787581957088,0.0387236191997125,0.0387236191997125,766.517638248895
"5",4.09569803820311,0.33057024932531,"pH",5.54546655607363e-05,0.0538645863814943,0.74811980695742,57.1414959566169
"6",0.111303744188113,0.0380285946269791,"Nperc",0.00653109636513775,0.0841934973786533,0.174721420225291,-257.240261256318
"7",2.98961586438784,0.78534962314678,"P",0.0508857228458673,0.0399352832678213,0.212554370165319,324.853299872669
"8",26.0948736612197,10.6378876978243,"K",0.0071847237242097,0.0596532097772911,0.320789842496427,726.907091419926
"9",20.3594234718285,3.81766217734209,"Na",0.149270963637439,0.0115333754812893,0.527685523728815,662.740315111106
"10",0.776135808551336,1.02537847146933,"CaMg",0.00024544988039045,0.100514488393693,0.414298871765521,267.559298769697
"11",1.54635887865258,-0.191866561315971,"Al",0.127731715779116,0.00801657057842535,0.71015460887799,139.214976644966
