"","UF","MA","variable","p_value","R2m","R2c","AIC"
"1",196.150170247619,-196.150170247619,"Aboveground_pool",4.76918964208395e-24,0.884346698037901,0.884346698037901,475.261346412009
"2",7.24057472133334,-6.39663232133334,"Litter_pool",1.39110813902338e-20,0.844578562125092,0.844578562125092,166.256817863161
"3",20.4431240147619,-20.4431240147619,"Dead_pool",3.19506747478881e-17,0.776471154032442,0.776471154032442,299.789916379533
"4",48.1252380952381,4.42556190476192,"Soil_pool_new",0.134118033303431,0.0466067599715302,0.0466067599715302,349.071418171451
"5",4.05978105652675,0.84062353382403,"pH",6.47308745690822e-14,0.645588936298097,0.742420224939671,19.3056800550023
"6",0.110555278668522,0.0286221114674088,"Nperc",0.00423520916576487,0.112776625641864,0.418658909919716,-173.336692157111
"7",2.95465387108998,2.48497265964933,"P",1.46505575153021e-06,0.308982086551924,0.531283116844611,180.877839943288
"8",25.7114923888491,30.2555599179397,"K",3.64842159042515e-08,0.453059856502103,0.52915329852169,391.577768198323
"9",20.3097977074248,8.66880797190338,"Na",0.001362501831281,0.0922824990509609,0.63400894621838,342.192947498802
"10",0.698835978809523,2.28747513231048,"CaMg",1.55359020971213e-17,0.790157137982399,0.790157137982399,88.5250292503531
"11",1.59004295730053,-1.02623466909312,"Al",5.19251042606468e-11,0.480318058388291,0.700269529630118,59.4667942726737
